"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-3.39592129e-01,-2.00908189e-03,0.00000000e+00,5.00000000e-01,1.23000003e-01,0.00000000e+00
-3.41233969e-01,-1.96028198e-03,0.00000000e+00,5.00000000e-01,1.23999998e-01,0.00000000e+00
-3.42875838e-01,-1.91148173e-03,0.00000000e+00,5.00000000e-01,1.25000000e-01,0.00000000e+00
-3.44517678e-01,-1.86268147e-03,0.00000000e+00,5.00000000e-01,1.26000002e-01,0.00000000e+00
-3.46159548e-01,-1.81388122e-03,0.00000000e+00,5.00000000e-01,1.27000004e-01,0.00000000e+00
-3.47801387e-01,-1.76508096e-03,0.00000000e+00,5.00000000e-01,1.28000006e-01,0.00000000e+00
-3.49443227e-01,-1.71628140e-03,0.00000000e+00,5.00000000e-01,1.28999993e-01,0.00000000e+00
-3.51085067e-01,-1.66748103e-03,0.00000000e+00,5.00000000e-01,1.29999995e-01,0.00000000e+00
-3.52533132e-01,-1.60559511e-03,0.00000000e+00,5.00000000e-01,1.30999997e-01,0.00000000e+00
-3.53913993e-01,-1.53917237e-03,0.00000000e+00,5.00000000e-01,1.31999999e-01,0.00000000e+00
-3.55294853e-01,-1.47274963e-03,0.00000000e+00,5.00000000e-01,1.33000001e-01,0.00000000e+00
-3.56675714e-01,-1.40632689e-03,0.00000000e+00,5.00000000e-01,1.34000003e-01,0.00000000e+00
-3.58056575e-01,-1.33990403e-03,0.00000000e+00,5.00000000e-01,1.35000005e-01,0.00000000e+00
-3.59437466e-01,-1.27348129e-03,0.00000000e+00,5.00000000e-01,1.36000007e-01,0.00000000e+00
-3.60818297e-01,-1.20705948e-03,0.00000000e+00,5.00000000e-01,1.36999995e-01,0.00000000e+00
-3.62199157e-01,-1.14063674e-03,0.00000000e+00,5.00000000e-01,1.37999997e-01,0.00000000e+00
-3.63463491e-01,-1.06826273e-03,0.00000000e+00,5.00000000e-01,1.38999999e-01,0.00000000e+00
-3.64551812e-01,-9.86899715e-04,0.00000000e+00,5.00000000e-01,1.40000001e-01,0.00000000e+00
-3.65640134e-01,-9.05536755e-04,0.00000000e+00,5.00000000e-01,1.41000003e-01,0.00000000e+00
-3.66728455e-01,-8.24173738e-04,0.00000000e+00,5.00000000e-01,1.42000005e-01,0.00000000e+00
-3.67816776e-01,-7.42810778e-04,0.00000000e+00,5.00000000e-01,1.43000007e-01,0.00000000e+00
-3.68905097e-01,-6.61448983e-04,0.00000000e+00,5.00000000e-01,1.43999994e-01,0.00000000e+00
-3.69993418e-01,-5.80085965e-04,0.00000000e+00,5.00000000e-01,1.44999996e-01,0.00000000e+00
-3.71081740e-01,-4.98723006e-04,0.00000000e+00,5.00000000e-01,1.45999998e-01,0.00000000e+00
-3.72170061e-01,-4.17359988e-04,0.00000000e+00,5.00000000e-01,1.47000000e-01,0.00000000e+00
-3.73000562e-01,-3.26602516e-04,0.00000000e+00,5.00000000e-01,1.48000002e-01,0.00000000e+00
-3.73772442e-01,-2.33708139e-04,0.00000000e+00,5.00000000e-01,1.49000004e-01,0.00000000e+00
-3.74544293e-01,-1.40813776e-04,0.00000000e+00,5.00000000e-01,1.50000006e-01,0.00000000e+00
-3.75316143e-01,-4.79207883e-05,0.00000000e+00,5.00000000e-01,1.50999993e-01,0.00000000e+00
-3.76088023e-01,4.49735817e-05,0.00000000e+00,5.00000000e-01,1.51999995e-01,0.00000000e+00
-3.76859874e-01,1.37867944e-04,0.00000000e+00,5.00000000e-01,1.52999997e-01,0.00000000e+00
-3.77631724e-01,2.30762322e-04,0.00000000e+00,5.00000000e-01,1.53999999e-01,0.00000000e+00
-3.78403604e-01,3.23656684e-04,0.00000000e+00,5.00000000e-01,1.55000001e-01,0.00000000e+00
-3.79175454e-01,4.16551047e-04,0.00000000e+00,5.00000000e-01,1.56000003e-01,0.00000000e+00
-3.79622191e-01,5.16886706e-04,0.00000000e+00,5.00000000e-01,1.57000005e-01,0.00000000e+00
-3.80063891e-01,6.17337821e-04,0.00000000e+00,5.00000000e-01,1.58000007e-01,0.00000000e+00
-3.80505562e-01,7.17787421e-04,0.00000000e+00,5.00000000e-01,1.58999994e-01,0.00000000e+00
-3.80947262e-01,8.18238477e-04,0.00000000e+00,5.00000000e-01,1.59999996e-01,0.00000000e+00
-3.81388932e-01,9.18689591e-04,0.00000000e+00,5.00000000e-01,1.60999998e-01,0.00000000e+00
-3.81830633e-01,1.01914071e-03,0.00000000e+00,5.00000000e-01,1.62000000e-01,0.00000000e+00
-3.82272303e-01,1.11959176e-03,0.00000000e+00,5.00000000e-01,1.63000003e-01,0.00000000e+00
