"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-1.38965948e-02,3.37655306e-01,0.00000000e+00,1.01000004e-01,5.00000000e-01,0.00000000e+00
-1.41853197e-02,3.38791877e-01,0.00000000e+00,1.01999998e-01,5.00000000e-01,0.00000000e+00
-1.44740473e-02,3.39928478e-01,0.00000000e+00,1.03000000e-01,5.00000000e-01,0.00000000e+00
-1.47627750e-02,3.41065079e-01,0.00000000e+00,1.04000002e-01,5.00000000e-01,0.00000000e+00
-1.50514999e-02,3.42201680e-01,0.00000000e+00,1.04999997e-01,5.00000000e-01,0.00000000e+00
-1.53402276e-02,3.43338281e-01,0.00000000e+00,1.05999999e-01,5.00000000e-01,0.00000000e+00
-1.56256370e-02,3.44419181e-01,0.00000000e+00,1.07000001e-01,5.00000000e-01,0.00000000e+00
-1.59061588e-02,3.45418096e-01,0.00000000e+00,1.08000003e-01,5.00000000e-01,0.00000000e+00
-1.61866788e-02,3.46416980e-01,0.00000000e+00,1.08999997e-01,5.00000000e-01,0.00000000e+00
-1.64672006e-02,3.47415864e-01,0.00000000e+00,1.09999999e-01,5.00000000e-01,0.00000000e+00
-1.67477224e-02,3.48414779e-01,0.00000000e+00,1.11000001e-01,5.00000000e-01,0.00000000e+00
-1.70282423e-02,3.49413663e-01,0.00000000e+00,1.12000003e-01,5.00000000e-01,0.00000000e+00
-1.73087623e-02,3.50412548e-01,0.00000000e+00,1.12999998e-01,5.00000000e-01,0.00000000e+00
-1.75892841e-02,3.51411462e-01,0.00000000e+00,1.14000000e-01,5.00000000e-01,0.00000000e+00
-1.78618189e-02,3.52301478e-01,0.00000000e+00,1.15000002e-01,5.00000000e-01,0.00000000e+00
-1.81315318e-02,3.53153080e-01,0.00000000e+00,1.15999997e-01,5.00000000e-01,0.00000000e+00
-1.84012484e-02,3.54004681e-01,0.00000000e+00,1.16999999e-01,5.00000000e-01,0.00000000e+00
-1.86709631e-02,3.54856282e-01,0.00000000e+00,1.18000001e-01,5.00000000e-01,0.00000000e+00
-1.89406779e-02,3.55707884e-01,0.00000000e+00,1.19000003e-01,5.00000000e-01,0.00000000e+00
-1.92103926e-02,3.56559455e-01,0.00000000e+00,1.19999997e-01,5.00000000e-01,0.00000000e+00
-1.94801074e-02,3.57411057e-01,0.00000000e+00,1.20999999e-01,5.00000000e-01,0.00000000e+00
-1.97498240e-02,3.58262658e-01,0.00000000e+00,1.22000001e-01,5.00000000e-01,0.00000000e+00
-2.00086832e-02,3.58978510e-01,0.00000000e+00,1.23000003e-01,5.00000000e-01,0.00000000e+00
-2.02656873e-02,3.59671146e-01,0.00000000e+00,1.23999998e-01,5.00000000e-01,0.00000000e+00
-2.05226913e-02,3.60363781e-01,0.00000000e+00,1.25000000e-01,5.00000000e-01,0.00000000e+00
-2.07796954e-02,3.61056417e-01,0.00000000e+00,1.26000002e-01,5.00000000e-01,0.00000000e+00
-2.10367013e-02,3.61749053e-01,0.00000000e+00,1.27000004e-01,5.00000000e-01,0.00000000e+00
-2.12937053e-02,3.62441689e-01,0.00000000e+00,1.28000006e-01,5.00000000e-01,0.00000000e+00
-2.15507075e-02,3.63134325e-01,0.00000000e+00,1.28999993e-01,5.00000000e-01,0.00000000e+00
-2.18077116e-02,3.63826960e-01,0.00000000e+00,1.29999995e-01,5.00000000e-01,0.00000000e+00
-2.20542438e-02,3.64392728e-01,0.00000000e+00,1.30999997e-01,5.00000000e-01,0.00000000e+00
-2.22971458e-02,3.64914536e-01,0.00000000e+00,1.31999999e-01,5.00000000e-01,0.00000000e+00
-2.25400478e-02,3.65436316e-01,0.00000000e+00,1.33000001e-01,5.00000000e-01,0.00000000e+00
-2.27829497e-02,3.65958124e-01,0.00000000e+00,1.34000003e-01,5.00000000e-01,0.00000000e+00
-2.30258536e-02,3.66479903e-01,0.00000000e+00,1.35000005e-01,5.00000000e-01,0.00000000e+00
-2.32687555e-02,3.67001712e-01,0.00000000e+00,1.36000007e-01,5.00000000e-01,0.00000000e+00
-2.35116538e-02,3.67523491e-01,0.00000000e+00,1.36999995e-01,5.00000000e-01,0.00000000e+00
-2.37545557e-02,3.68045300e-01,0.00000000e+00,1.37999997e-01,5.00000000e-01,0.00000000e+00
-2.39914395e-02,3.68495017e-01,0.00000000e+00,1.38999999e-01,5.00000000e-01,0.00000000e+00
-2.42192335e-02,3.68835866e-01,0.00000000e+00,1.40000001e-01,5.00000000e-01,0.00000000e+00
-2.44470276e-02,3.69176716e-01,0.00000000e+00,1.41000003e-01,5.00000000e-01,0.00000000e+00
-2.46748216e-02,3.69517565e-01,0.00000000e+00,1.42000005e-01,5.00000000e-01,0.00000000e+00
-2.49026157e-02,3.69858414e-01,0.00000000e+00,1.43000007e-01,5.00000000e-01,0.00000000e+00
-2.51304060e-02,3.70199263e-01,0.00000000e+00,1.43999994e-01,5.00000000e-01,0.00000000e+00
-2.53582001e-02,3.70540112e-01,0.00000000e+00,1.44999996e-01,5.00000000e-01,0.00000000e+00
-2.55859941e-02,3.70880961e-01,0.00000000e+00,1.45999998e-01,5.00000000e-01,0.00000000e+00
-2.58137882e-02,3.71221840e-01,0.00000000e+00,1.47000000e-01,5.00000000e-01,0.00000000e+00
-2.60287262e-02,3.71409416e-01,0.00000000e+00,1.48000002e-01,5.00000000e-01,0.00000000e+00
-2.62407418e-02,3.71562123e-01,0.00000000e+00,1.49000004e-01,5.00000000e-01,0.00000000e+00
-2.64527556e-02,3.71714860e-01,0.00000000e+00,1.50000006e-01,5.00000000e-01,0.00000000e+00
-2.66647656e-02,3.71867567e-01,0.00000000e+00,1.50999993e-01,5.00000000e-01,0.00000000e+00
-2.68767811e-02,3.72020274e-01,0.00000000e+00,1.51999995e-01,5.00000000e-01,0.00000000e+00
-2.70887949e-02,3.72173011e-01,0.00000000e+00,1.52999997e-01,5.00000000e-01,0.00000000e+00
-2.73008086e-02,3.72325718e-01,0.00000000e+00,1.53999999e-01,5.00000000e-01,0.00000000e+00
